dayIndex,is_holiday,is_closed,weekend,wind,clouds,rain,sunshine,demand,id,weekday_FRI,weekday_MON,weekday_SAT,weekday_SUN,weekday_THU,weekday_TUE,weekday_WED,month_APR,month_AUG,month_DEC,month_FEB,month_JAN,month_JUL,month_JUN,month_MAR,month_MAY,month_NOV,month_OCT,month_SEP,year_2013,year_2014,year_2015,item_calamari,item_chicken,item_fish,item_koefte,item_lamb,item_shrimp,item_steak
12,0,0,0,2.5,5.4,22.1,0,2,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
13,0,0,0,2.6,7.1,0.0,86,8,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
14,0,0,0,4.4,6.0,0.0,216,6,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
15,0,0,0,1.7,2.9,0.0,252,7,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
16,0,0,1,3.6,3.5,0.0,474,10,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
17,0,0,1,2.2,6.2,4.9,6,6,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
18,0,0,0,2.1,6.9,0.0,89,5,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
19,0,0,0,3.3,3.8,0.0,221,3,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
20,0,0,0,3.3,7.6,1.3,0,5,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
21,0,0,0,1.9,1.1,0.0,381,6,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
22,0,0,0,2.9,5.4,0.0,121,5,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
23,0,0,1,2.8,3.9,0.0,352,4,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
24,0,0,1,5.5,5.8,4.8,326,8,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
25,0,0,0,5.5,7.0,0.0,132,5,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
26,0,0,0,3.3,3.9,0.0,232,5,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
27,0,0,0,2.0,1.5,0.0,333,4,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
28,0,0,0,1.5,0.0,0.0,411,4,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
29,1,0,0,2.6,7.7,0.0,0,0,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
30,0,0,1,4.4,7.1,0.0,60,25,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
31,0,0,1,4.8,3.0,0.0,258,3,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
32,0,0,0,5.1,7.6,0.1,19,0,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
33,0,0,0,3.5,4.4,0.3,314,2,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
34,0,0,0,2.8,7.8,1.1,0,7,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
35,0,0,0,4.0,6.8,0.0,82,5,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
36,0,0,0,2.2,7.9,3.8,0,7,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
37,0,0,1,3.7,3.2,0.0,151,8,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
38,0,0,1,3.9,7.7,16.2,0,6,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
39,0,0,0,1.5,5.2,0.0,19,3,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
40,0,0,0,2.3,2.8,0.0,244,2,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
41,0,0,0,1.4,8.0,0.0,0,4,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
42,0,0,0,2.7,7.8,0.4,0,3,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
43,0,0,0,3.8,7.7,0.0,0,7,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
44,0,0,1,2.9,8.0,0.0,0,4,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
45,0,0,1,1.9,8.0,0.0,0,1,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
46,0,0,0,1.2,0.1,0.0,367,4,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
47,0,0,0,2.5,7.8,3.9,0,4,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
48,0,0,0,2.8,7.9,1.8,0,5,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
49,0,0,0,2.2,8.0,0.0,0,7,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
50,0,0,0,2.8,8.0,1.6,0,4,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
51,0,0,1,3.9,8.0,0.0,0,6,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
52,0,0,1,3.9,8.0,0.1,7,4,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
53,0,0,0,2.4,3.6,0.7,314,4,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
54,0,0,0,3.0,5.5,0.0,125,4,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
55,0,0,0,1.5,1.9,0.0,288,1,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
56,0,0,0,1.1,7.8,0.4,0,4,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
57,0,0,0,3.4,7.9,0.0,0,5,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
58,0,0,1,2.4,7.5,0.0,116,13,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
59,0,0,1,1.4,7.3,0.0,50,1,calamari,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
60,0,0,0,4.7,1.8,0.0,293,4,calamari,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
61,0,0,0,1.8,0.4,0.0,348,3,calamari,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
62,0,0,0,3.3,7.9,0.0,20,2,calamari,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
63,0,0,0,4.8,6.4,0.0,173,7,calamari,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
64,0,0,0,8.5,7.1,0.9,85,9,calamari,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
65,0,0,1,3.5,7.8,0.7,0,11,calamari,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
66,0,0,1,3.1,7.8,0.0,6,4,calamari,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
67,0,0,0,2.4,2.3,0.0,246,3,calamari,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
68,0,0,0,1.5,0.0,0.0,362,5,calamari,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
69,0,0,0,1.7,1.9,0.0,358,4,calamari,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
70,0,0,0,1.1,8.0,0.0,0,3,calamari,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
71,0,0,0,1.5,5.8,0.0,299,5,calamari,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
72,0,0,1,1.9,7.0,2.2,0,6,calamari,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
73,0,0,1,2.4,4.6,0.0,143,4,calamari,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
74,0,0,0,3.8,0.9,0.0,349,2,calamari,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
75,0,0,0,2.6,0.2,0.0,377,4,calamari,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
76,0,0,0,3.7,7.4,0.0,38,1,calamari,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
77,0,0,0,3.6,7.3,0.2,0,7,calamari,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
78,0,0,0,2.8,4.2,0.0,0,7,calamari,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
79,0,0,1,3.5,5.6,0.0,192,3,calamari,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
80,0,0,1,3.6,6.8,0.4,44,4,calamari,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
81,0,0,0,3.2,3.5,0.0,258,6,calamari,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
82,0,0,0,3.8,6.5,0.0,152,1,calamari,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
83,1,1,0,4.2,7.0,3.9,0,0,calamari,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
84,1,0,0,4.7,7.8,8.1,0,4,calamari,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
85,0,0,0,4.4,2.1,0.0,348,11,calamari,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
86,0,0,1,3.2,5.3,4.5,0,7,calamari,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
87,0,0,1,3.4,6.1,0.3,138,6,calamari,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
88,0,0,0,3.4,0.8,0.0,378,8,calamari,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
89,0,0,0,3.2,2.0,0.0,365,3,calamari,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
90,1,0,0,4.6,4.5,0.0,265,0,calamari,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
91,0,0,0,4.3,5.2,0.2,25,7,calamari,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
92,0,0,0,3.8,6.8,0.3,26,8,calamari,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
93,0,0,1,2.1,6.0,1.4,0,4,calamari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
94,0,0,1,3.1,4.9,0.0,68,2,calamari,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
95,1,0,0,3.8,7.0,0.0,71,2,calamari,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
96,0,0,0,2.7,6.4,0.0,99,8,calamari,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
97,0,0,0,2.7,4.1,0.0,207,4,calamari,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
98,0,0,0,4.8,6.8,1.7,150,5,calamari,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
99,0,0,0,3.0,2.4,0.0,219,12,calamari,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
100,0,0,1,2.9,7.5,1.5,0,11,calamari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
101,0,0,1,1.3,4.9,0.0,142,2,calamari,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
102,0,0,0,1.8,7.5,5.0,34,2,calamari,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
103,0,0,0,1.6,7.5,1.5,0,11,calamari,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
104,0,0,0,3.1,6.0,0.0,283,9,calamari,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
105,0,0,0,3.6,5.7,2.6,0,4,calamari,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
106,0,0,0,3.1,3.0,0.0,151,9,calamari,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
107,0,0,1,2.3,5.8,0.0,146,10,calamari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
108,0,0,1,1.8,6.4,0.0,50,2,calamari,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
109,0,0,0,2.2,7.9,0.0,0,2,calamari,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
110,0,0,0,2.1,7.8,5.2,0,6,calamari,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
111,0,0,0,1.2,8.0,0.0,0,8,calamari,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
112,0,0,0,2.0,7.9,1.0,0,6,calamari,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
113,0,0,0,3.7,7.8,1.3,0,6,calamari,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
114,0,0,1,1.9,7.8,0.0,3,7,calamari,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
115,0,0,1,5.4,6.2,0.0,126,4,calamari,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
116,0,0,0,3.2,4.6,1.2,130,1,calamari,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
117,0,0,0,3.3,1.3,0.0,405,3,calamari,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
118,0,0,0,5.2,6.1,0.0,18,24,calamari,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
119,0,0,0,2.4,6.4,0.0,150,8,calamari,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
120,0,0,0,1.8,2.7,0.0,282,4,calamari,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
121,0,0,1,2.0,6.4,0.3,197,6,calamari,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
122,0,0,1,1.9,7.1,0.4,1,0,calamari,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
123,0,0,0,3.9,7.8,0.0,1,0,calamari,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
124,0,0,0,2.1,6.2,0.0,0,2,calamari,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
125,0,0,0,3.0,6.3,0.1,11,1,calamari,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
126,0,0,0,3.9,5.5,0.0,240,4,calamari,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
127,0,0,0,5.1,6.2,0.0,0,5,calamari,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
128,0,0,1,4.9,5.1,0.6,0,10,calamari,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
129,0,0,1,4.3,6.0,0.9,127,5,calamari,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
130,0,0,0,3.0,7.0,1.7,0,2,calamari,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
131,0,0,0,2.6,4.2,0.0,80,5,calamari,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
132,0,0,0,3.5,4.3,0.0,273,4,calamari,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
133,0,0,0,5.6,6.8,6.3,58,4,calamari,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
134,0,0,0,4.6,6.9,0.5,176,14,calamari,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
135,0,0,1,3.5,6.6,6.3,0,6,calamari,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
136,0,0,1,3.4,6.9,0.1,3,3,calamari,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
137,0,0,0,1.8,1.8,0.0,309,1,calamari,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
138,0,0,0,2.3,4.9,0.0,251,1,calamari,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
139,0,0,0,1.8,7.9,0.2,1,5,calamari,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
140,0,0,0,3.2,1.3,0.0,427,3,calamari,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
141,0,0,0,3.8,5.3,0.6,15,2,calamari,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
142,0,0,1,3.1,5.2,0.5,165,14,calamari,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
143,0,0,1,2.8,2.4,0.0,439,7,calamari,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
144,0,0,0,2.9,0.1,0.0,472,4,calamari,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
145,0,0,0,3.2,6.5,0.0,299,6,calamari,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
146,0,0,0,3.9,6.5,1.9,146,5,calamari,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
147,0,0,0,3.4,7.2,0.0,0,4,calamari,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
148,0,0,0,3.1,6.5,0.0,205,4,calamari,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
149,0,0,1,1.8,7.2,0.3,76,8,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
150,0,0,1,2.1,5.6,0.0,122,4,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
151,0,0,0,2.6,7.6,0.0,11,0,calamari,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
152,0,0,0,3.9,5.3,0.0,284,3,calamari,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
153,0,0,0,3.6,4.6,0.0,253,3,calamari,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
154,0,0,0,2.4,2.4,0.0,268,7,calamari,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
155,0,0,0,1.9,1.8,0.0,458,5,calamari,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
156,0,0,1,2.7,0.0,0.0,473,9,calamari,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
157,0,0,1,2.9,0.1,0.0,609,6,calamari,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
